id,domain
1a089ad4-0de4-46ef-9fdb-d07c5eef5c44,travel
73d1fc17-c9a6-4a9e-addc-13f89ea27f55,meta
74b7da5d-f9a4-4718-99c7-c2f4ba746e52,home
a5390a5a-1c51-4716-b269-1aee5f7d8aa5,travel
1d728805-c52f-4f72-bdd8-7c6013f16033,auto_and_commute
1190d5ca-dd0e-4e0a-a916-206e9fecb17d,meta
35b81c8a-e45d-47b5-88f1-4db5e1d9e18b,auto_and_commute
904b71c1-9340-4536-8494-9d1cfde29b30,home
684d37f3-eb66-4d21-bb27-abe39b67bf59,home
5f27c3bf-887b-4447-89e6-a93f11e9edb7,meta
9ca1815a-5ac8-4a0e-b2c0-0e012b42ebf2,utility
f71b5546-5e9f-42c0-ab76-2dfbfa61092e,utility
d2e59710-a43d-480b-b949-cf96503a6499,work
16dd261a-0275-4d12-9054-50689184a96a,small_talk
13485dea-00fb-456c-bae3-c51ccef8d8eb,travel
2ca3052f-4bc9-4cc1-a441-5f2618284c9f,oos
97c0f55a-5a6a-4eb5-bdba-6c69ff935189,auto_and_commute
eeb57686-028c-443c-ad15-9923f0a35ff8,credit_cards
f42ec263-dd57-4d48-a49a-632b886dd5e3,small_talk
88a68af9-1fcc-4d69-bc0c-9f3d91ebb00e,small_talk
de5a160b-34c1-42ca-98ea-1fdbe3d26669,travel
3f7409b5-e18f-40bb-9ffa-54109bbc0a00,utility
2f4b4bfc-336c-4b8b-8d1b-8454c4a5f98e,credit_cards
f929b093-a3b9-4657-a602-d62b455a9e61,work
255b506e-7142-4998-8d43-6fe60f67dc71,kitchen_and_dining
24fcea8d-35ff-4a36-99d6-7c8b4946454f,meta
aefcbe57-9c03-46ec-9dbd-d3556e150648,oos
93d20221-df97-4fe7-b828-b6e1d2813643,auto_and_commute
025e7142-cb86-4baf-acac-2af7c1cdc591,travel
1a6f7488-9b15-46ca-8638-5b9c157b8555,oos
f9b3e3c5-3606-4f5b-bc5f-7ef03aca336c,oos
b464845e-a6da-46df-aeaf-6dffb0de6953,kitchen_and_dining
07d780b5-7a0c-4d13-96dc-43898296aced,small_talk
c4142dfb-f78c-4f4e-a3bb-c8594035bec6,work
7e44c55d-544b-4a42-a049-9ea53a00521c,home
d82d4c23-9134-4ba6-9859-3d7a6dd91af2,work
fd0f50e7-46d5-4d14-b8f7-f3758acf7501,home
1d5a5f74-5f2f-40f5-a6f8-78affda0e105,meta
67e49c8c-da8c-4bbc-8099-6007dd7fabfe,auto_and_commute
322c9c06-0337-448f-a199-91cf6423c5a3,credit_cards
1a8ee0d9-f560-429d-be35-25c31eaf1971,utility
621f2e7d-dbfa-4841-b9ea-ec9f58da0f5a,travel
1cc53983-ebb0-47a2-9d52-3a9d34382392,kitchen_and_dining
86e0442c-2455-46b7-ae15-1568ffd05a79,utility
75967ed4-bf21-436f-b475-37da2a413492,oos
9eed8656-e751-42e9-b5a5-202f9516512a,travel
d8a3ab96-8369-45ee-bac5-c445469535f3,banking
53cb5d96-7e15-425e-9b77-0f1d57c2b6f0,banking
9a3a1a93-d5eb-49cd-9c0e-e67510218073,kitchen_and_dining
30ca7930-a47f-4479-acf1-a78f0afd04ee,utility
8f2ae866-94a2-4928-b327-42a19e09e5db,credit_cards
4f77a75d-cae4-4794-8327-035c32c1223e,banking
88ea4245-7977-4b3d-826d-465b22178c67,home
